meanBlue,meanRed,sdBlue,skewnessBlue,dfRG,dfRB,dfGB,entropyBlue,energyBlue,contrastBlue,homogeneityBlue,coverage,clase
0.444514,0.645,0.509795,0.491592,0.732321,0.781655,0.684974,0.458533,0.089991,0.113882,0.292229,0.641116,nube
0.40973,0.741203,0.442381,0.290032,0.834975,0.969188,0.919109,0.672627,0.457343,0.022489,0.635851,0.989988,nube
0.382101,0.401923,0.604246,0.645405,0.485077,0.504813,0.435522,0.584807,0.117571,0.179957,0.234583,0.188739,multinube
0.82436,0.872853,0.653143,0.083531,0.665466,0.619985,0.461375,0.390503,0.22271,0.107298,0.313248,0.199792,nube
0.228787,0.307158,0.651988,0.861082,0.449607,0.565936,0.581114,0.467545,0.21034,0.022128,0.651778,0.067681,multinube
0.246983,0.540704,0.523114,0.739017,0.870404,0.886672,0.735083,0.506209,0.109589,0.066676,0.424422,0.664326,multinube
0.736465,0.932777,0.612923,0.15525,0.795254,0.823602,0.69717,0.433493,0.140478,0.5136,0.060675,0.863468,nube
0.323687,0.568584,0.585017,0.601079,0.693495,0.827272,0.806046,0.399063,0.142284,0.03914,0.431611,0.434692,nube
0.721276,0.88581,0.642896,0.136496,0.785302,0.774212,0.618337,0.520797,0.298891,0.042048,0.467174,0.600871,nube
0.435036,0.749172,0.833642,0.767251,0.914316,0.947778,0.800858,0.584223,0.059092,0.374543,0.078247,0.931474,nube
0.465685,0.499246,0.607117,0.601561,0.538464,0.538856,0.443096,0.547702,0.227131,0.092985,0.38742,0.231844,multinube
0.352494,0.482513,0.663893,0.746621,0.595279,0.662523,0.608431,0.516519,0.125507,0.201925,0.310097,0.377284,multinube
0.343056,0.227628,0.382942,0.565661,0.416865,0.298825,0.133573,0.53515,0.175919,0.035862,0.56324,0.019765,nube
0.783208,0.565653,0.738451,0.246122,0.225988,0.220666,0.184835,0.441563,0.242018,0.422359,0.220899,0.093492,nube
0.767316,0.719796,0.704568,0.204132,0.467376,0.468923,0.388759,0.451333,0.206192,0.451927,0.171766,0.218906,nube
0.331379,0.615796,0.61434,0.82605,0.855584,0.88685,0.750297,0.604307,0.276949,0.049637,0.501083,0.579611,multinube
0.430684,0.69967,0.579496,0.433747,0.764835,0.880445,0.829987,0.614393,0.106847,0.521712,0.032425,0.753527,nube
0.556205,0.767819,0.757232,0.483054,0.795649,0.816478,0.68396,0.374603,0.022823,0.190859,0.166898,0.528964,nube
0.548149,0.733385,0.770504,0.479567,0.700548,0.77623,0.707151,0.507522,0.377727,0.017321,0.740437,0.465184,nube
0.413305,0.691861,0.594314,0.462819,0.736563,0.891701,0.878648,0.477913,0.105285,0.191588,0.164248,0.719069,nube
0.528816,0.663981,0.677544,0.508087,0.687929,0.699168,0.581224,0.393747,0.209957,0.071574,0.39444,0.139848,multinube
0.524566,0.692519,0.746945,0.528251,0.660995,0.746845,0.694049,0.614621,0.358674,0.005707,0.802662,0.382095,nube
0.384851,0.396654,0.705604,0.706382,0.454437,0.493434,0.445849,0.637375,0.278573,0.13439,0.431946,0.135687,nube
0.173041,0.176169,0.323996,0.630891,0.354711,0.445733,0.460284,0.572377,0.27619,0.032382,0.592693,0.012808,nube
0.49374,0.284103,0.659516,0.459543,0.164916,0.184652,0.18144,0.55163,0.263908,0.025654,0.639914,0.053313,nube
0.328798,0.340212,0.516085,0.763419,0.497513,0.483624,0.384912,0.543044,0.313096,0.017716,0.699855,0.022365,nube
0.718067,0.915124,0.506535,0.124171,0.782928,0.82167,0.706084,0.429524,0.148209,0.268125,0.123422,0.932449,nube
0.419436,0.73996,0.293933,0.273863,0.866607,0.954633,0.861138,0.60315,0.359174,0.033307,0.557097,0.889019,multinube
0.081721,0.045024,0.300692,0.722755,0.325563,0.371928,0.356828,0.67946,0.35337,0.008637,0.83254,0.020415,nube
0.26342,0.128292,0.487441,0.773842,0.309268,0.256637,0.165834,0.565179,0.318077,0.002807,0.872104,0.005526,cieloDespejado
0.562387,0.569025,0.542209,0.315417,0.522303,0.515066,0.416548,0.498761,0.234914,0.150418,0.304932,0.203173,nube
0.357594,0.612999,0.544943,0.746682,0.793104,0.848362,0.743867,0.553909,0.192245,0.134351,0.255791,0.470516,nube
0.41841,0.604717,0.660404,0.659375,0.747085,0.756433,0.624769,0.292641,0.030743,0.071647,0.380692,0.427475,nube
0.542417,0.442217,0.683249,0.554373,0.38239,0.354141,0.267719,0.351907,0.160414,0.127458,0.253157,0.024251,nube
0.135513,0.071696,0.256366,0.642184,0.368702,0.340777,0.257438,0.644206,0.336687,0.009692,0.774913,0.012548,nube
0.451132,0.537805,0.711424,0.551735,0.586083,0.614822,0.531873,0.33589,0.033349,0.136672,0.234851,0.401144,multinube
0.631045,0.492101,0.701913,0.447169,0.334983,0.31158,0.238812,0.247732,0.055746,0.120426,0.251624,0.0407,multinube
0.673276,0.872019,0.493819,0.153256,0.817907,0.816777,0.662127,0.514687,0.262288,0.043697,0.49559,0.561602,multinube
0.257815,0.588857,0.626139,0.746146,0.77696,0.943522,0.931255,0.510855,0.118033,0.055659,0.414801,0.626032,multinube
0.372572,0.385319,0.607939,0.797353,0.543597,0.492803,0.355102,0.542179,0.317599,0.040149,0.492114,0.120863,nube
0.743512,0.680745,0.767521,0.27371,0.404664,0.442506,0.404273,0.423172,0.144054,0.323892,0.199329,0.285287,multinube
0.331918,0.571718,0.616669,0.593195,0.708681,0.821109,0.779698,0.448076,0.054809,0.160965,0.259966,0.621091,nube
0.337576,0.407382,0.638879,0.851104,0.585809,0.571225,0.453733,0.626612,0.188414,0.107183,0.398715,0.243092,nube
0.2405,0.231965,0.296368,0.572235,0.417314,0.439642,0.386407,0.574317,0.292518,0.019063,0.687985,0.004226,nube
0.205749,0.249316,0.422871,0.608679,0.39442,0.510789,0.537387,0.534916,0.234989,0.030279,0.524865,0.031337,nube
0.251354,0.002778,0.384222,0.482689,0.110626,0.087263,0.060834,0.614958,0.306505,0.004034,0.873697,0.020155,cieloDespejado
0.359562,0.544801,0.711224,0.701455,0.67036,0.745162,0.681611,0.673275,0.087613,0.54784,0.066653,0.359209,nube
0.779765,0.875845,0.761527,0.224491,0.765737,0.682849,0.473667,0.459286,0.106532,0.855689,0,0.225278,nube
0.32554,0.383158,0.464452,0.722042,0.550289,0.551259,0.453521,0.425682,0.192063,0.041449,0.483751,0.098368,nube
0.480824,0.587864,0.675024,0.593696,0.640695,0.649763,0.539833,0.606615,0.241152,0.129404,0.325854,0.322216,nube
0.543319,0.451785,0.59755,0.427591,0.363026,0.367076,0.310447,0.394467,0.190742,0.048138,0.454017,0.091737,nube
0.467705,0.6641,0.515864,0.550097,0.733498,0.779441,0.679809,0.754616,0.641394,0.008412,0.836354,0.273974,nube
0.438079,0.481898,0.512134,0.507083,0.573988,0.549442,0.426433,0.502709,0.16474,0.07906,0.38672,0.143229,multinube
0.293941,0.2264,0.589432,0.848822,0.393065,0.361387,0.270023,0.614255,0.349751,0.013901,0.714535,0.059879,nube
0.619017,0.496203,0.659515,0.319751,0.306331,0.333397,0.306852,0.492318,0.224091,0.034615,0.555596,0.068591,nube
0.416085,0.632432,0.580097,0.568419,0.697239,0.800374,0.753903,0.413567,0.108402,0.132768,0.247095,0.472921,multinube
0.647552,0.39249,0.64734,0.325735,0.091944,0.142974,0.179818,0.467992,0.186777,0.011003,0.718186,0.039464,cieloDespejado
0.676004,0.925318,0.502793,0.155575,0.910748,0.89184,0.70383,0.449122,0.145559,0.204207,0.1732,0.990443,nube
0.32143,0.169351,0.389126,0.62702,0.296775,0.241185,0.150596,0.501057,0.20882,0.016676,0.6384,0.004161,nube
0.392734,0.462768,0.766426,0.740152,0.556203,0.580648,0.500439,0.326764,0.050776,0.076803,0.353814,0.177817,nube
0.311315,0.416295,0.601756,0.821205,0.572905,0.618795,0.552266,0.574252,0.400213,0.01938,0.686509,0.091411,nube
0.26056,0.512172,0.547544,0.823374,0.873213,0.826779,0.62453,0.389897,0.055266,0.085263,0.387504,0.455302,nube
0.746685,0.604127,0.704961,0.277524,0.284756,0.325302,0.313976,0.509239,0.213604,0.142171,0.428645,0.12782,nube
0.282692,0.396021,0.682895,0.883752,0.601901,0.626396,0.536795,0.456398,0.211845,0.015304,0.664852,0.163839,nube
0.513891,0.665244,0.679834,0.581822,0.696851,0.720594,0.610794,0.465226,0.11274,0.302316,0.168283,0.476887,nube
0.351797,0.564331,0.61855,0.737676,0.73832,0.784156,0.683442,0.540833,0.148872,0.17328,0.209961,0.394968,nube
0.599773,0.507068,0.65121,0.387563,0.394731,0.374649,0.292204,0.588279,0.397566,0.014946,0.717241,0.109291,nube
0.416535,0.597259,0.654324,0.580246,0.617693,0.747888,0.739447,0.571606,0.254632,0.086711,0.334103,0.427801,multinube
0.374304,0.646207,0.571209,0.662444,0.798646,0.875458,0.787034,0.776448,0.716044,0.012136,0.737584,0.374618,nube
0.391044,0.667482,0.38984,0.423247,0.824392,0.884909,0.778156,0.72571,0.524583,0.006552,0.805618,0.537416,nube
0.313364,0.557291,0.506966,0.635236,0.735941,0.82414,0.757753,0.527866,0.152332,0.092944,0.340383,0.605812,nube
0.439495,0.487727,0.634544,0.539365,0.497589,0.556186,0.515351,0.528742,0.233099,0.055347,0.440516,0.208569,multinube
0.709464,0.436471,0.60815,0.299308,0.165394,0.126718,0.076756,0.530884,0.242292,0.006063,0.828497,0.031402,cieloDespejado
0.600386,0.778879,0.73131,0.404709,0.76234,0.774889,0.642632,0.817498,0.8493,0.009786,0.813151,0.305442,nube
0.32208,0.54617,0.466293,0.683769,0.76738,0.796308,0.676094,0.500094,0.182373,0.079446,0.361379,0.405695,multinube
0.316545,0.614792,0.539763,0.581203,0.771423,0.90481,0.86719,0.658326,0.375152,0.018933,0.694797,0.593394,nube
0.51513,0.391351,0.523269,0.345875,0.284142,0.314855,0.295803,0.493376,0.217845,0.033023,0.521592,0.103634,multinube
0.626935,0.90313,0.485097,0.270345,0.935646,0.923417,0.735603,0.578227,0.338577,0.059523,0.424936,0.733892,multinube
0.437079,0.719434,0.567739,0.501801,0.774447,0.901224,0.8577,0.455556,0.166114,0.032093,0.547641,0.884923,multinube
0.257871,0.293639,0.466393,0.843001,0.590709,0.50787,0.334853,0.554614,0.226946,0.034007,0.52866,0.10539,nube
0.293941,0.340295,0.52529,0.84818,0.598635,0.529432,0.365669,0.522729,0.249165,0.031793,0.531196,0.136337,nube
0.340263,0.203306,0.667613,0.684936,0.222762,0.266599,0.270697,0.365609,0.221846,0.125787,0.591294,0.06443,nube
0.434853,0.374957,0.645914,0.665223,0.395223,0.395884,0.329903,0.644844,0.397255,0.005038,0.866142,0.068266,nube
1,0.654789,0.807849,0.060017,0.021579,0.068037,0.115751,0.737703,0.799725,0.139681,0.266121,0.004226,multinube
0.251679,0.47607,0.452321,0.621876,0.669305,0.785152,0.7546,0.554947,0.187294,0.045036,0.505714,0.410962,multinube
0.410786,0.283646,0.597934,0.620313,0.282646,0.292705,0.257464,0.464563,0.187081,0.037633,0.535138,0.037969,nube
0.369824,0.512969,0.41125,0.557027,0.735617,0.684746,0.507353,0.569872,0.215149,0.129161,0.284423,0.408946,nube
0.720108,0.833537,0.790656,0.278753,0.692134,0.698618,0.576007,0.340201,0.122129,0.067172,0.376169,0.103049,nube
0.253507,0.221549,0.416527,0.729102,0.430928,0.407226,0.314418,0.694617,0.264017,0.091567,0.521033,0.087511,nube
0.175156,0.119832,0.316913,0.655414,0.37757,0.359841,0.282815,0.66495,0.394443,0.001357,0.940527,0.007607,cieloDespejado
0.305248,0.58254,0.563555,0.624276,0.690978,0.872032,0.889085,0.532672,0.281274,0.057982,0.376548,0.641571,multinube
0.176288,0.501206,0.316659,0.472367,0.69351,0.921053,0.974713,0.531007,0.241602,0.028927,0.557201,0.638385,nube
0.402333,0.628563,0.594538,0.56275,0.721868,0.812688,0.751298,0.612668,0.235766,0.112346,0.326021,0.391977,nube
0.277367,0.318739,0.391405,0.548773,0.447947,0.519351,0.49899,0.60597,0.260649,0.031295,0.586368,0.087641,nube
0.669079,0.871796,0.549375,0.097946,0.824726,0.821949,0.664576,0.639198,0.452111,0.029818,0.551381,0.573695,nube
0.241867,0.063975,0.44914,0.602461,0.142102,0.18999,0.213971,0.626574,0.323363,0.002235,0.862868,0.029257,cieloDespejado
0.263621,0.03535,0.421482,0.600695,0.122289,0.119242,0.106632,0.586475,0.297556,0.005388,0.848158,0.017424,cieloDespejado
0.465852,0.708506,0.692374,0.523481,0.716555,0.847387,0.81905,0.400262,0.372055,0.078143,0.515734,0.46694,multinube
0.50209,0.664242,0.547835,0.579584,0.773921,0.734583,0.558495,0.569886,0.385355,0.01833,0.66647,0.228984,nube
0.480439,0.365285,0.470863,0.358947,0.302867,0.321865,0.289592,0.630812,0.23846,0.049357,0.543771,0.130876,multinube
0.343751,0.334803,0.600276,0.79624,0.432785,0.456045,0.40036,0.592342,0.338902,0.009638,0.758932,0.064235,nube
0.508217,0.801749,0.509303,0.412729,0.813261,0.929436,0.869434,0.954468,0.958126,0.002145,0.941359,0.807165,nube
0.493169,0.694377,0.653307,0.671518,0.865612,0.790738,0.567344,0.500186,0.270679,0.050857,0.471249,0.372473,multinube
0.686589,0.805991,0.623514,0.240449,0.73372,0.701907,0.540127,0.661489,0.445993,0.025951,0.662156,0.38346,nube
0.354665,0.15221,0.466949,0.613817,0.220384,0.172335,0.103535,0.592996,0.293894,0.003514,0.879188,0.007412,nube
0.492478,0.710647,0.68302,0.473602,0.716033,0.815648,0.762488,0.373231,0.108976,0.100786,0.309757,0.537416,multinube
0.547967,0.259353,0.640565,0.426534,0.08845,0.077061,0.064772,0.429172,0.163469,0.030348,0.539634,0.027566,nube
0.3818,0.540431,0.732388,0.788294,0.66539,0.709567,0.622581,0.550237,0.288576,0.043849,0.508904,0.388141,nube
0.347137,0.525527,0.689111,0.727696,0.654185,0.73301,0.676009,0.517049,0.112439,0.098126,0.349221,0.453677,multinube
0.462856,0.639477,0.673538,0.684098,0.721918,0.749466,0.637531,0.57149,0.201847,0.151191,0.294934,0.375073,multinube
0.362951,0.581666,0.66709,0.755537,0.73861,0.795112,0.702859,0.667472,0.341239,0.041216,0.531634,0.319355,multinube
0.210127,0.248356,0.445205,0.845375,0.483965,0.503635,0.43452,0.561101,0.286333,0.030805,0.601182,0.091802,nube
0.201276,0.367168,0.085906,0.255434,0.624788,0.690536,0.629158,0.750343,0.516115,0.013925,0.676104,0.02087,nube
0,0.045926,0.054469,0.434449,0.358162,0.480368,0.519112,0.799066,0.585759,0.005489,0.829315,0.016319,nube
0.268738,0.393391,0.412778,0.716308,0.615644,0.640805,0.548899,0.46007,0.231011,0.013439,0.684579,0.1076,nube
0.080197,0.306616,0.024013,0.343165,0.68769,0.759891,0.690684,0.935786,0.798816,0.005764,0.87071,0.062805,nube
0.383297,0.544976,0.921479,0.825309,0.664099,0.714311,0.632411,0.428206,0.206609,0.07363,0.398604,0.310318,nube
0.560458,0.649409,0.612148,0.420971,0.596576,0.636196,0.559774,0.308326,0.059396,0.108584,0.296509,0.417918,multinube
0.800512,0.939818,0.811445,0.166024,0.718552,0.750046,0.641958,0.601188,0.352973,0.034551,0.531022,0.592029,nube
0.331497,0.115589,0.376285,0.588931,0.281042,0.148667,0,0.537623,0.294994,0.00719,0.796213,0.000715,cieloDespejado
0.63139,0.536816,0.684793,0.42582,0.359684,0.377103,0.331842,0.565545,0.261222,0.195295,0.403947,0.164489,nube
0.597611,0.699972,0.796615,0.448404,0.623862,0.662103,0.578947,0.570075,0.237364,0.18881,0.476752,0.53319,nube
0.700964,0.945466,0.588235,0.24353,0.934366,0.888854,0.674722,0.378165,0.172941,0.029234,0.555203,0.99896,nube
0.342505,0.392344,0.544498,0.727778,0.529357,0.542577,0.458941,0.664241,0.435537,0.004297,0.857906,0.08595,nube
0.237333,0.121235,0.507785,0.838677,0.3163,0.280416,0.201536,0.565758,0.314302,0.00971,0.75868,0.015864,nube
0.474467,0.716079,0.515735,0.556096,0.88108,0.847269,0.653479,0.48856,0.223605,0.079293,0.354368,0.546193,multinube
0.424152,0.165433,0.615212,0.503305,0.088431,0.100768,0.107432,0.514892,0.214539,0.009499,0.759106,0.031532,cieloDespejado
0.393813,0.559945,0.467689,0.557747,0.663278,0.722614,0.648171,0.534437,0.138025,0.139335,0.282256,0.577336,nube
0.412829,0.575015,0.723441,0.776109,0.758243,0.719925,0.547886,0.430414,0.148358,0.120519,0.332062,0.48768,nube
0.329975,0.333533,0.519642,0.736063,0.474656,0.472227,0.387384,0.543671,0.258769,0.020899,0.607589,0.060464,nube
0.373505,0.655519,0.33685,0.312271,0.765089,0.890245,0.847359,0.539842,0.311324,0.031531,0.523613,0.72375,nube
0.268261,0.278143,0.519689,0.654265,0.379012,0.471388,0.482004,0.678685,0.179949,0.069662,0.485709,0.153631,nube
0.538533,0.620869,0.455631,0.37747,1,0.622823,0.13025,0.382499,0.217275,0.098131,0.29546,0.161238,nube
0.330146,0.429561,0.666381,0.854652,0.602724,0.613687,0.513107,0.502348,0.212848,0.121268,0.279949,0.19264,multinube
0.561959,0.860859,0.672196,0.479696,0.957793,0.946211,0.754341,0.376069,0.120273,0.011251,0.714577,0.991158,nube
0.587282,0.506844,0.690448,0.540167,0.442407,0.390692,0.27314,0.592374,0.401433,0.014541,0.741534,0.143099,nube
0.361315,0.35525,0.604584,0.743874,0.506257,0.463193,0.339374,0.60546,0.146837,0.211291,0.277416,0.209414,multinube
0.262721,0.197954,0.625335,0.776433,0.273703,0.360336,0.3881,0.720777,0.320806,0.033514,0.599893,0.088486,nube
0.414343,0.623977,0.57813,0.601451,0.67006,0.790181,0.762886,0.552803,0.307308,0.039893,0.495901,0.25512,nube
0.359928,0.559689,0.660093,0.827157,0.767925,0.766649,0.622197,0.555747,0.31805,0.015581,0.675468,0.254795,nube
0.445441,0.732172,0.798361,0.67822,0.821782,0.909058,0.824216,0.351506,0.091167,0.037143,0.509492,0.991808,nube
0.477158,0.65938,0.878543,0.660547,0.705291,0.760087,0.673346,0.621032,0.165767,0.256737,0.224715,0.415058,multinube
0.485074,0.519456,0.504217,0.521326,0.572142,0.543261,0.417172,0.554201,0.18287,0.150713,0.280616,0.315324,nube
0.296096,0.169889,0.479048,0.527665,0.285125,0.275183,0.223457,0.554557,0.13286,0.055531,0.510916,0.098823,nube
0.31719,0.146137,0.428827,0.692334,0.312496,0.212491,0.083185,0.508089,0.261022,0.009,0.76535,0.002146,cieloDespejado
0.450222,0.384052,0.569885,0.588201,0.415856,0.38916,0.29707,0.433319,0.175157,0.023792,0.627274,0.136922,nube
0.298297,0.278341,0.534358,0.643473,0.354374,0.432315,0.436486,0.591635,0.15759,0.047311,0.557922,0.107145,nube
0.603602,0.556145,0.598806,0.432873,0.635521,0.442042,0.17141,0.390558,0.244574,0.067064,0.401944,0.054613,nube
0.354291,0.260284,0.597963,0.726642,0.335113,0.332282,0.275918,0.678387,0.223114,0.111997,0.522175,0.112151,nube
0.337922,0.637511,0.435245,0.399667,0.680868,0.910314,0.968104,0.884068,0.747259,0.001943,0.933574,0.694103,nube
0.408273,0.304186,0.732738,0.7284,0.291708,0.326304,0.30879,0.563818,0.284693,0.022972,0.64066,0.070997,nube
0.306348,0.424102,0.787929,0.893669,0.578694,0.636823,0.578874,0.701208,0.332995,0.041785,0.609621,0.25681,nube
0.4208,0.716012,0.360342,0.265212,0.824419,0.917511,0.83677,0.501785,0.215798,0.084557,0.35732,0.943697,nube
0.331576,0.463741,0.976076,0.911114,0.589887,0.662244,0.613348,0.529342,0.287467,0.049048,0.498854,0.358039,nube
0.295158,0.576579,0.618175,0.653588,0.668049,0.87646,0.920096,0.395964,0.083936,0.075569,0.334877,0.587348,multinube
0.424219,0.60757,0.544898,0.483117,0.705433,0.753029,0.660509,0.406248,0.104711,0.091489,0.315553,0.459593,multinube
0.57611,0.428518,0.615105,0.380705,0.26957,0.289769,0.265326,0.540941,0.165256,0.150246,0.356933,0.203693,nube
0.621061,0.879081,0.611555,0.218681,0.851459,0.895633,0.770242,0.495408,0.140604,0.605339,0.020334,0.976529,nube
